7,0,350000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
8,0,5000000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
5,8,1500000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
6,0,5500000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
8,7,2300000,4.1,3.8,3.2,4.0,3.3,3.4,4.2,3.3,4.1
12,0,8500000,4.3,3.9,3.2,4.0,3.7,3.7,4.4,3.4,4.2
6,0,11500000,4.3,3.9,3.2,4.0,3.7,3.7,4.4,3.4,4.2
5,0,250000,3.4,3.2,2.6,3.7,3.4,3.2,4.3,3.0,3.5
16,30,700000,4.1,3.6,3.2,3.7,3.6,3.3,4.4,3.1,3.9
5,0,1850000,4.3,3.9,3.2,4.0,3.7,3.7,4.4,3.4,4.2
7,0,6900000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
4,0,500000,3.8,3.4,3.1,3.6,3.5,3.4,4.3,3.1,3.5
6,0,600000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
5,0,1350000,4.3,3.9,3.2,4.0,3.7,3.7,4.4,3.4,4.2
4,5,900000,3.7,3.2,2.3,3.9,3.0,2.6,3.9,2.9,3.7
6,0,1600000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
33,0,31400000,3.4,3.2,2.6,3.7,3.4,3.2,4.3,3.0,3.5
739,0,12500000,3.4,3.2,2.6,3.7,3.4,3.2,4.3,3.0,3.5
6,0,960000,4.1,3.8,3.2,4.0,3.3,3.4,4.2,3.3,4.1
5,27,730000,4.3,3.7,3.0,3.9,3.1,2.9,4.2,3.0,4.1
8,0,600000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
3,0,4850000,3.6,3.8,3.3,3.7,3.9,3.8,4.5,3.3,3.8
9,0,5800000,4.3,3.7,3.0,3.9,3.1,2.9,4.2,3.0,4.1
4,0,1550000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
10,0,9500000,3.4,3.4,3.1,3.7,3.1,3.2,4.4,2.9,3.6
8,5,3500000,3.5,3.5,3.1,3.7,3.4,3.4,4.4,3.0,3.6
33,14,2600000,4.4,3.6,2.8,4.1,3.2,2.7,4.2,3.1,4.2
10,0,20000000,4.1,3.4,2.9,3.6,3.2,3.0,4.4,3.1,3.6
8,0,2300000,4.4,3.6,2.8,4.1,3.2,2.7,4.2,3.1,4.2
5,0,3000000,4.1,3.4,2.9,3.6,3.2,3.0,4.4,3.1,3.6
5,0,6500000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
23,14,5750000,4.3,3.8,3.2,3.9,3.5,3.4,4.2,3.2,4.0
10,0,3860086,4.1,3.8,3.2,4.0,3.3,3.4,4.2,3.3,4.1
5,0,3500000,4.1,3.4,2.9,3.6,3.2,3.0,4.4,3.1,3.6
24,0,16000000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
9,0,3800000,4.1,3.8,3.2,4.0,3.3,3.4,4.2,3.3,4.1
5,2,2650000,4.4,3.8,3.3,3.8,3.4,3.4,4.2,3.3,3.9
5,0,550000,3.4,3.2,2.6,3.7,3.4,3.2,4.3,3.0,3.5
8,0,2800000,4.3,3.7,3.0,3.9,3.1,2.9,4.2,3.0,4.1
